Episode,Total Reward,Episode Length
180,0,21
181,-17,38
182,-16,37
183,-10,31
184,-10,31
185,-3,24
186,-12,33
187,-6,27
188,0,21
189,0,21
190,-1,22
191,-7,28
192,-29,50
193,-13,34
194,-4,25
195,-12,33
196,-2,23
197,-14,35
198,-19,40
199,-14,35
200,-15,36
201,-8,29
202,-3,24
203,-17,38
204,-4,25
205,-7,28
206,-2,23
207,-14,35
208,-16,37
209,-2,23
210,-5,26
211,1,20
212,-3,24
213,-17,38
214,-9,30
215,-5,26
216,-6,27
217,-7,28
218,-4,25
219,-1,22
220,-17,38
221,-8,29
222,-10,31
223,-6,27
224,0,21
225,-15,36
226,-11,32
227,-3,24
228,2,19
229,-13,34
230,-8,29
231,-3,24
232,-7,28
233,-7,28
234,-4,25
235,-18,39
236,-10,31
237,-9,30
238,0,21
239,2,19
240,2,19
241,-9,30
242,3,18
243,-17,38
244,-11,32
245,-1,22
246,-7,28
247,-11,32
248,0,21
249,-5,26
250,-4,25
251,-3,24
252,-2,23
253,1,20
254,-3,24
255,-2,23
256,-5,26
257,-2,23
258,-12,33
259,-14,35
260,-3,24
261,-6,27
262,-5,26
263,1,20
264,-1,22
265,-3,24
266,1,20
267,-1,22
268,-4,25
269,-3,24
270,-8,29
271,-19,40
272,-1,22
273,3,18
274,-5,26
275,-1,22
276,0,21
277,-7,28
278,-2,23
279,-1,22
280,-3,24
281,-4,25
282,-2,23
283,-1,22
284,-5,26
285,-3,24
286,-7,28
287,2,19
288,-6,27
289,0,21
290,3,18
291,1,20
292,1,20
293,-6,27
294,0,21
295,-4,25
296,-7,28
297,3,18
298,-2,23
299,2,19
300,-1,22
301,-3,24
302,2,19
303,2,19
304,0,21
305,3,18
306,-2,23
307,-5,26
308,-8,29
309,-2,23
310,1,20
311,-3,24
312,-5,26
313,-3,24
314,0,21
315,3,18
316,-1,22
317,-3,24
318,0,21
319,-6,27
320,3,18
321,1,20
322,3,18
323,1,20
324,1,20
325,1,20
326,3,18
327,0,21
328,2,19
329,-1,22
330,-19,40
331,-2,23
332,3,18
333,-6,27
334,0,21
335,0,21
336,-2,23
337,-1,22
338,1,20
339,-2,23
340,3,18
341,0,21
342,-5,26
343,-1,22
344,1,20
345,-3,24
346,-2,23
347,1,20
348,0,21
349,3,18
350,3,18
351,3,18
352,2,19
353,0,21
354,3,18
355,1,20
356,-2,23
357,1,20
358,-3,24
359,-5,26
360,2,19
361,-3,24
362,1,20
363,-1,22
364,3,18
365,0,21
366,-2,23
367,1,20
368,0,21
369,-2,23
370,3,18
371,0,21
372,1,20
373,1,20
374,0,21
375,0,21
376,3,18
377,1,20
378,3,18
379,3,18
380,1,20
381,1,20
382,-1,22
383,0,21
384,3,18
385,1,20
386,3,18
387,1,20
388,0,21
389,1,20
390,3,18
391,2,19
392,3,18
393,-3,24
394,1,20
395,-1,22
396,3,18
397,-6,27
398,-1,22
399,2,19
400,3,18
401,-5,26
402,1,20
403,-3,24
404,2,19
405,1,20
406,0,21
407,2,19
408,3,18
409,2,19
410,1,20
411,3,18
412,3,18
413,-1,22
414,-1,22
415,3,18
416,2,19
417,2,19
418,1,20
419,3,18
420,1,20
421,0,21
422,3,18
423,3,18
424,2,19
425,1,20
426,2,19
427,3,18
428,0,21
429,1,20
430,1,20
431,-3,24
432,1,20
433,2,19
434,0,21
435,3,18
436,3,18
437,-3,24
438,3,18
439,1,20
440,-1,22
441,1,20
442,3,18
443,0,21
444,2,19
445,-4,25
446,1,20
447,1,20
448,1,20
449,3,18
450,-3,24
451,3,18
452,1,20
453,2,19
454,1,20
455,-4,25
456,-1,22
457,1,20
458,-1,22
459,-3,24
460,1,20
461,-3,24
462,-1,22
463,-6,27
464,-3,24
465,1,20
466,0,21
467,3,18
468,1,20
469,3,18
470,0,21
471,-5,26
472,3,18
473,1,20
474,-5,26
475,1,20
476,1,20
477,1,20
478,3,18
479,1,20
480,-2,23
481,-1,22
482,-1,22
483,2,19
484,1,20
485,3,18
486,1,20
487,0,21
488,2,19
489,1,20
490,1,20
491,0,21
492,1,20
493,1,20
494,3,18
495,-3,24
496,3,18
497,1,20
498,3,18
499,-3,24
500,3,18
501,3,18
502,3,18
503,3,18
504,1,20
505,-1,22
506,-1,22
507,3,18
508,3,18
509,3,18
510,3,18
511,3,18
512,1,20
513,0,21
514,1,20
515,1,20
516,1,20
517,-1,22
518,1,20
519,-3,24
520,2,19
521,1,20
522,1,20
523,3,18
524,1,20
525,2,19
526,1,20
527,-5,26
528,-1,22
529,3,18
530,3,18
531,-1,22
532,1,20
533,1,20
534,-3,24
535,0,21
536,3,18
537,1,20
538,3,18
539,3,18
540,3,18
541,-2,23
542,3,18
543,-1,22
544,3,18
545,3,18
546,1,20
547,3,18
548,-1,22
549,3,18
550,-3,24
551,3,18
552,2,19
553,3,18
554,0,21
555,-1,22
556,-1,22
557,3,18
558,2,19
559,2,19
560,3,18
561,3,18
562,1,20
563,1,20
564,3,18
565,3,18
566,-1,22
567,3,18
568,0,21
569,2,19
570,-3,24
571,3,18
572,0,21
573,1,20
574,-1,22
575,3,18
576,-2,23
577,2,19
578,-1,22
579,3,18
580,0,21
581,-3,24
582,2,19
583,3,18
584,1,20
585,2,19
586,3,18
587,3,18
588,-2,23
589,3,18
590,3,18
591,1,20
592,0,21
593,1,20
594,1,20
595,2,19
596,2,19
597,3,18
598,1,20
599,3,18
600,0,21
601,1,20
602,-2,23
603,-5,26
604,3,18
605,3,18
606,3,18
607,1,20
608,-1,22
609,3,18
610,2,19
611,1,20
612,3,18
613,3,18
614,1,20
615,3,18
616,2,19
617,3,18
618,3,18
619,1,20
620,-3,24
621,2,19
622,2,19
623,1,20
624,0,21
625,0,21
626,2,19
627,3,18
628,0,21
629,2,19
630,-5,26
631,-1,22
632,1,20
633,3,18
634,1,20
635,1,20
636,1,20
637,1,20
638,1,20
639,3,18
640,1,20
641,1,20
642,3,18
643,3,18
644,2,19
645,3,18
646,1,20
647,3,18
648,3,18
649,-1,22
650,-1,22
651,3,18
652,0,21
653,0,21
654,-1,22
655,1,20
656,-1,22
657,2,19
658,3,18
659,2,19
660,-1,22
661,3,18
662,-4,25
663,3,18
664,-1,22
665,-1,22
666,0,21
667,1,20
668,1,20
669,3,18
670,0,21
671,1,20
672,0,21
673,3,18
674,2,19
675,0,21
676,3,18
677,0,21
678,1,20
679,2,19
680,0,21
681,2,19
682,-3,24
683,3,18
684,-2,23
685,-3,24
686,3,18
687,1,20
688,1,20
689,-1,22
690,1,20
691,1,20
692,-3,24
693,2,19
694,1,20
695,3,18
696,-1,22
697,1,20
698,3,18
699,3,18
700,-2,23
701,3,18
702,3,18
703,3,18
704,3,18
705,1,20
706,3,18
707,3,18
708,3,18
709,0,21
710,1,20
711,3,18
712,1,20
713,-4,25
714,3,18
715,3,18
716,3,18
717,0,21
718,1,20
719,3,18
720,1,20
721,1,20
722,1,20
723,-1,22
724,1,20
725,3,18
726,2,19
727,-3,24
728,3,18
729,0,21
730,3,18
731,3,18
732,3,18
733,1,20
734,3,18
735,3,18
736,3,18
737,0,21
738,1,20
739,3,18
740,1,20
741,0,21
742,3,18
743,3,18
744,3,18
745,2,19
746,1,20
747,2,19
748,3,18
749,-8,29
750,-2,23
751,3,18
752,3,18
753,-1,22
754,3,18
755,3,18
756,3,18
757,1,20
758,1,20
759,3,18
760,1,20
761,0,21
762,1,20
763,2,19
764,3,18
765,3,18
766,3,18
767,3,18
768,1,20
769,1,20
770,3,18
771,3,18
772,1,20
773,1,20
774,-1,22
775,3,18
776,-2,23
777,0,21
778,-1,22
779,2,19
780,3,18
781,3,18
782,1,20
783,3,18
784,2,19
785,3,18
786,2,19
787,1,20
788,3,18
789,3,18
790,1,20
791,0,21
792,3,18
793,3,18
794,-2,23
795,3,18
796,1,20
797,-1,22
798,3,18
799,1,20
800,3,18
801,3,18
802,3,18
803,-1,22
804,2,19
805,0,21
806,3,18
807,3,18
808,-1,22
809,-1,22
810,1,20
811,2,19
812,1,20
813,1,20
814,2,19
815,0,21
816,1,20
817,2,19
818,2,19
819,1,20
820,-2,23
821,-2,23
822,3,18
823,2,19
824,3,18
825,-3,24
826,3,18
827,3,18
828,1,20
829,-1,22
830,2,19
831,3,18
832,-1,22
833,1,20
834,-4,25
835,3,18
836,3,18
837,3,18
838,-1,22
839,-3,24
840,1,20
841,3,18
842,-1,22
843,-1,22
844,3,18
845,-2,23
846,3,18
847,3,18
848,3,18
849,3,18
850,1,20
851,1,20
852,1,20
853,3,18
854,1,20
855,2,19
856,3,18
857,1,20
858,2,19
859,1,20
860,-1,22
861,3,18
862,-1,22
863,3,18
864,1,20
865,1,20
866,1,20
867,-4,25
868,0,21
869,0,21
870,2,19
871,-1,22
872,3,18
873,1,20
874,1,20
875,3,18
876,3,18
877,-1,22
878,1,20
879,-5,26
880,3,18
881,3,18
882,3,18
883,3,18
884,3,18
885,-1,22
886,3,18
887,1,20
888,2,19
889,2,19
890,-1,22
891,-3,24
892,-1,22
893,0,21
894,3,18
895,-2,23
896,3,18
897,1,20
898,1,20
899,2,19
900,2,19
901,1,20
902,3,18
903,-5,26
904,-3,24
905,-1,22
906,3,18
907,2,19
908,3,18
909,1,20
910,2,19
911,3,18
912,1,20
913,1,20
914,3,18
915,-1,22
916,3,18
917,0,21
918,1,20
919,-1,22
920,0,21
921,-4,25
922,1,20
923,3,18
924,1,20
925,3,18
926,2,19
927,1,20
928,1,20
929,0,21
930,3,18
931,3,18
932,1,20
933,-1,22
934,1,20
935,3,18
936,3,18
937,1,20
938,1,20
939,-4,25
940,2,19
941,0,21
942,0,21
943,1,20
944,2,19
945,3,18
946,-7,28
947,3,18
948,2,19
949,1,20
950,3,18
951,-1,22
952,3,18
953,3,18
954,-2,23
955,1,20
956,3,18
957,3,18
958,2,19
959,3,18
960,-1,22
961,2,19
962,-5,26
963,3,18
964,1,20
965,2,19
966,3,18
967,1,20
968,3,18
969,3,18
970,3,18
971,1,20
972,1,20
973,-3,24
974,3,18
975,0,21
976,-2,23
977,-1,22
978,1,20
979,-1,22
980,3,18
981,1,20
982,1,20
983,3,18
984,3,18
985,3,18
986,1,20
987,3,18
988,1,20
989,-1,22
990,-3,24
991,1,20
992,0,21
993,1,20
994,-3,24
995,-1,22
996,-2,23
997,0,21
998,1,20
999,1,20
1000,-2,23
