Episode,Total Reward,Episode Length
233,-23,44
234,-1,22
235,-10,31
236,-2,23
237,1,20
238,0,21
239,-10,31
240,-12,33
241,-18,39
242,0,21
243,2,19
244,-2,23
245,-11,32
246,-11,32
247,3,18
248,-2,23
249,-4,25
250,-14,35
251,1,20
252,-9,30
253,1,20
254,2,19
255,-2,23
256,-4,25
257,-2,23
258,-2,23
259,-3,24
260,-4,25
261,-1,22
262,1,20
263,-12,33
264,-2,23
265,-6,27
266,-2,23
267,-1,22
268,-5,26
269,-2,23
270,-10,31
271,2,19
272,-2,23
273,-1,22
274,2,19
275,-2,23
276,-2,23
277,3,18
278,-8,29
279,-8,29
280,-3,24
281,-2,23
282,0,21
283,-5,26
284,0,21
285,0,21
286,1,20
287,-2,23
288,-1,22
289,-4,25
290,-9,30
291,-7,28
292,-3,24
293,-1,22
294,-4,25
295,1,20
296,-9,30
297,-1,22
298,1,20
299,-2,23
300,2,19
301,-2,23
302,1,20
303,-1,22
304,1,20
305,3,18
306,-7,28
307,-4,25
308,-8,29
309,-1,22
310,-3,24
311,2,19
312,3,18
313,0,21
314,-3,24
315,-4,25
316,-1,22
317,3,18
318,-6,27
319,-2,23
320,1,20
321,0,21
322,1,20
323,2,19
324,3,18
325,1,20
326,0,21
327,-6,27
328,-6,27
329,3,18
330,2,19
331,-5,26
332,2,19
333,1,20
334,-7,28
335,-5,26
336,-1,22
337,1,20
338,2,19
339,-3,24
340,-13,34
341,1,20
342,-3,24
343,1,20
344,1,20
345,3,18
346,2,19
347,-4,25
348,3,18
349,1,20
350,0,21
351,1,20
352,3,18
353,-2,23
354,-1,22
355,1,20
356,-1,22
357,-1,22
358,0,21
359,0,21
360,1,20
361,1,20
362,0,21
363,-1,22
364,1,20
365,-3,24
366,1,20
367,1,20
368,3,18
369,1,20
370,3,18
371,0,21
372,3,18
373,0,21
374,-3,24
375,-1,22
376,1,20
377,1,20
378,2,19
379,2,19
380,1,20
381,0,21
382,0,21
383,3,18
384,-3,24
385,-1,22
386,0,21
387,-4,25
388,1,20
389,1,20
390,1,20
391,-1,22
392,-1,22
393,3,18
394,3,18
395,1,20
396,1,20
397,-1,22
398,1,20
399,3,18
400,-3,24
401,1,20
402,0,21
403,3,18
404,2,19
405,1,20
406,3,18
407,-2,23
408,1,20
409,3,18
410,2,19
411,0,21
412,3,18
413,1,20
414,3,18
415,-5,26
416,3,18
417,1,20
418,3,18
419,3,18
420,-3,24
421,3,18
422,2,19
423,3,18
424,3,18
425,3,18
426,1,20
427,3,18
428,3,18
429,2,19
430,3,18
431,-2,23
432,1,20
433,1,20
434,-2,23
435,-3,24
436,-1,22
437,3,18
438,1,20
439,1,20
440,3,18
441,-3,24
442,3,18
443,-2,23
444,3,18
445,-1,22
446,1,20
447,1,20
448,3,18
449,-8,29
450,1,20
451,-2,23
452,1,20
453,1,20
454,3,18
455,3,18
456,3,18
457,2,19
458,1,20
459,1,20
460,-1,22
461,-1,22
462,-2,23
463,2,19
464,1,20
465,3,18
466,2,19
467,2,19
468,3,18
469,1,20
470,2,19
471,3,18
472,1,20
473,-1,22
474,1,20
475,1,20
476,3,18
477,3,18
478,0,21
479,-2,23
480,3,18
481,3,18
482,2,19
483,3,18
484,-2,23
485,3,18
486,-1,22
487,3,18
488,0,21
489,1,20
490,3,18
491,-1,22
492,1,20
493,3,18
494,2,19
495,-1,22
496,1,20
497,-5,26
498,3,18
499,1,20
500,3,18
501,3,18
502,3,18
503,3,18
504,3,18
505,1,20
506,1,20
507,1,20
508,2,19
509,3,18
510,1,20
511,1,20
512,3,18
513,1,20
514,3,18
515,-2,23
516,3,18
517,1,20
518,1,20
519,1,20
520,3,18
521,3,18
522,3,18
523,2,19
524,0,21
525,3,18
526,1,20
527,0,21
528,1,20
529,-1,22
530,3,18
531,1,20
532,2,19
533,-1,22
534,1,20
535,1,20
536,3,18
537,3,18
538,0,21
539,0,21
540,1,20
541,3,18
542,3,18
543,-2,23
544,3,18
545,3,18
546,1,20
547,-4,25
548,-1,22
549,3,18
550,-1,22
551,1,20
552,1,20
553,-8,29
554,3,18
555,-1,22
556,3,18
557,3,18
558,3,18
559,1,20
560,1,20
561,3,18
562,3,18
563,3,18
564,3,18
565,3,18
566,1,20
567,3,18
568,0,21
569,-2,23
570,-1,22
571,1,20
572,1,20
573,1,20
574,3,18
575,3,18
576,0,21
577,1,20
578,3,18
579,2,19
580,3,18
581,1,20
582,-4,25
583,-4,25
584,3,18
585,1,20
586,-1,22
587,0,21
588,-5,26
589,1,20
590,1,20
591,1,20
592,3,18
593,1,20
594,1,20
595,1,20
596,1,20
597,1,20
598,3,18
599,2,19
600,3,18
601,3,18
602,3,18
603,2,19
604,-2,23
605,-1,22
606,3,18
607,3,18
608,-3,24
609,3,18
610,3,18
611,3,18
612,1,20
613,-5,26
614,1,20
615,1,20
616,2,19
617,0,21
618,-2,23
619,0,21
620,-1,22
621,3,18
622,-1,22
623,-7,28
624,-1,22
625,1,20
626,3,18
627,3,18
628,-4,25
629,-2,23
630,1,20
631,1,20
632,-1,22
633,3,18
634,1,20
635,1,20
636,3,18
637,-2,23
638,3,18
639,-1,22
640,-1,22
641,3,18
642,-3,24
643,0,21
644,3,18
645,0,21
646,3,18
647,3,18
648,3,18
649,-1,22
650,2,19
651,1,20
652,-1,22
653,3,18
654,3,18
655,0,21
656,3,18
657,0,21
658,1,20
659,-2,23
660,3,18
661,1,20
662,1,20
663,-5,26
664,3,18
665,-1,22
666,3,18
667,-2,23
668,1,20
669,-1,22
670,0,21
671,0,21
672,-2,23
673,1,20
674,2,19
675,-1,22
676,-3,24
677,1,20
678,1,20
679,1,20
680,3,18
681,3,18
682,1,20
683,-1,22
684,-4,25
685,3,18
686,3,18
687,3,18
688,1,20
689,-1,22
690,1,20
691,1,20
692,2,19
693,1,20
694,3,18
695,1,20
696,0,21
697,3,18
698,1,20
699,1,20
700,3,18
701,1,20
702,1,20
703,3,18
704,2,19
705,1,20
706,3,18
707,3,18
708,1,20
709,3,18
710,1,20
711,-4,25
712,2,19
713,1,20
714,-1,22
715,1,20
716,1,20
717,3,18
718,-1,22
719,1,20
720,-1,22
721,3,18
722,1,20
723,2,19
724,1,20
725,-1,22
726,-3,24
727,3,18
728,0,21
729,3,18
730,1,20
731,-1,22
732,-1,22
733,3,18
734,1,20
735,3,18
736,1,20
737,-5,26
738,-1,22
739,3,18
740,3,18
741,3,18
742,0,21
743,-1,22
744,3,18
745,3,18
746,3,18
747,3,18
748,3,18
749,3,18
750,3,18
751,1,20
752,-9,30
753,1,20
754,0,21
755,1,20
756,3,18
757,1,20
758,1,20
759,-1,22
760,1,20
761,1,20
762,-1,22
763,3,18
764,3,18
765,2,19
766,0,21
767,3,18
768,3,18
769,3,18
770,3,18
771,-3,24
772,-3,24
773,-1,22
774,-2,23
775,3,18
776,3,18
777,3,18
778,1,20
779,-1,22
780,1,20
781,3,18
782,3,18
783,-1,22
784,0,21
785,3,18
786,3,18
787,-1,22
788,1,20
789,3,18
790,3,18
791,1,20
792,3,18
793,1,20
794,0,21
795,3,18
796,1,20
797,3,18
798,1,20
799,3,18
800,-1,22
